model,accuracy,precision,recall,f1,runtime_seconds
Linear SVM C=10,0.8975,0.8971028971028971,0.898,0.8975512243878061,1.7630717754364014
RBF SVM C=1 gamma=scale,0.902,0.9028056112224448,0.901,0.9019019019019019,1.983966588973999
RBF SVM C=1 gamma=0.01,0.9045,0.905717151454363,0.903,0.9043565348022033,1.8097350597381592
RBF SVM C=1 gamma=0.05,0.884,0.8772102161100196,0.893,0.8850346878097126,3.1191489696502686
RBF SVM C=2 gamma=scale,0.91,0.9124748490945674,0.907,0.9097291875626881,1.7290289402008057
Logistic Regression C=10,0.897,0.8962075848303394,0.898,0.8971028971028971,0.5011091232299805
Extra Trees,0.8855,0.8760975609756098,0.898,0.8869135802469136,1.0846421718597412
Hist Gradient Boosting,0.8945,0.8886699507389163,0.902,0.8952853598014888,6.465439558029175
