condition,accuracy,precision,recall,f1,runtime_seconds
original,0.9057142857142857,0.9034090909090909,0.9085714285714286,0.905982905982906,239.83889865875244
resize_16,0.5164285714285715,0.8709677419354839,0.03857142857142857,0.07387140902872777,239.83889865875244
resize_32,0.8764285714285714,0.8758915834522111,0.8771428571428571,0.8765167737330478,239.83889865875244
blur,0.5585714285714286,0.8360655737704918,0.1457142857142857,0.24817518248175183,239.83889865875244
jpeg_compression,0.82,0.9444444444444444,0.68,0.7906976744186046,239.83889865875244
